player,team,position,height_cm,weight_kg
Scott Thompson,Adelaide,Midfielder,185,85
Richard Douglas,Adelaide,Midfielder,180,80
Rory Sloane,Adelaide,Midfielder,183,85
Patrick Dangerfield,Adelaide,Midfielder,185,92
Bernie Vince,Adelaide,Midfielder,186,87
Brodie Smith,Adelaide,Defender,189,84
Brad Crouch,Adelaide,Midfielder,185,84
Rory Laird,Adelaide,Defender,178,76
Nathan van Berlo,Adelaide,Midfielder,184,84
David Mackay,Adelaide,Midfielder,181,78
Andy Otten,Adelaide,Unknown,192,92
Luke Brown,Adelaide,Defender,181,79
Tom Lynch,Adelaide,Forward,192,85
Matthew Wright,Adelaide,Midfielder,178,81
Ben Rutten,Adelaide,Defender,190,101
Ricky Henderson,Adelaide,Defender,189,91
Sam Jacobs,Adelaide,Ruck,203,105
Daniel Talia,Adelaide,Defender,196,95
Jason Porplyzia,Adelaide,Forward,177,85
Josh Jenkins,Adelaide,Forward,199,103
Brent Reilly,Adelaide,Defender,183,86
Sam Kerridge,Adelaide,Midfielder,188,86
Jarryd Lyons,Adelaide,Midfielder,184,78
Matthew Jaensch,Adelaide,Defender,180,83
Jared Petrenko,Adelaide,Forward,178,82
Shaun McKernan,Adelaide,Forward,196,99
Mitch Grigg,Adelaide,Unknown,182,82
Richard Tambling,Adelaide,Defender,180,80
Ian Callinan,Adelaide,Forward,171,70
Lewis Johnston,Adelaide,Forward,192,91
Taylor Walker,Adelaide,Forward,192,100
Kyle Hartigan,Adelaide,Defender,195,94
Sam Shaw,Adelaide,Defender,194,86
Graham Johncock,Adelaide,Forward,178,87
Brodie Martin,Adelaide,Defender,180,83
Aidan Riley,Adelaide,Midfielder,183,86
Tom Rockliff,Brisbanelions,Unknown,185,85
Jack Redden,Brisbanelions,Unknown,189,84
Jed Adcock,Brisbanelions,Unknown,184,83
Pearce Hanley,Brisbanelions,Unknown,185,85
Mitch Golby,Brisbanelions,Unknown,183,82
Dayne Zorko,Brisbanelions,Unknown,175,76
Brent Moloney,Brisbanelions,Unknown,182,88
Joel Patfull,Brisbanelions,Unknown,189,88
Sam Mayes,Brisbanelions,Unknown,187,84
Daniel Rich,Brisbanelions,Unknown,183,83
Elliot Yeo,Brisbanelions,Unknown,189,76
Matthew Leuenberger,Brisbanelions,Unknown,204,104
Ryan Lester,Brisbanelions,Unknown,191,87
Andrew Raines,Brisbanelions,Unknown,183,82
Rohan Bewick,Brisbanelions,Unknown,183,83
Ryan Harwood,Brisbanelions,Unknown,184,83
Daniel Merrett,Brisbanelions,Unknown,195,103
Ashley McGrath,Brisbanelions,Unknown,183,86
Brent Staker,Brisbanelions,Unknown,196,100
Jonathan Brown,Brisbanelions,Unknown,194,102
Simon Black,Brisbanelions,Unknown,186,81
Josh Green,Brisbanelions,Unknown,177,76
Sam Docherty,Brisbanelions,Unknown,184,84
James Polkinghorne,Brisbanelions,Unknown,184,87
Matt Maguire,Brisbanelions,Unknown,192,100
Justin Clarke,Brisbanelions,Unknown,195,88
Jordan Lisle,Brisbanelions,Unknown,196,95
Marco Paparone,Brisbanelions,Unknown,194,86
