location,min_temp_c,max_temp_c,rainfall_mm,wind_gust_kmh,humidity_9am_pct,humidity_3pm_pct,temp_9am_c,temp_3pm_c,pressure_9am,pressure_3pm,rain_today,rain_tomorrow
Hobart,7.9,11.4,1.2,44.0,79,74,9.0,10.5,1010.9,1012.3,Yes,No
Hobart,6.1,10.8,0.0,31.0,86,86,8.5,10.3,1023.2,1017.9,No,Yes
Hobart,8.9,19.2,0.8,30.0,52,53,15.9,18.3,1019.1,1018.3,No,No
Hobart,10.6,20.1,0.2,44.0,86,76,12.5,17.5,1005.4,1000.5,No,No
Hobart,7.8,19.0,0.0,35.0,72,42,10.1,17.4,1024.0,1021.4,No,No
Hobart,11.3,19.8,0.0,61.0,36,42,15.4,19.6,1007.2,1003.0,No,Yes
Hobart,10.2,18.3,,24.0,94,76,13.3,17.2,1018.9,1015.6,,Yes
Hobart,12.0,22.2,0.0,39.0,56,57,17.0,18.8,1022.0,1021.1,No,No
Hobart,5.6,14.5,0.0,52.0,79,56,7.0,14.4,1023.9,1020.7,No,No
Hobart,9.9,12.9,8.6,87.0,48,77,12.0,7.7,998.8,1006.8,Yes,Yes
Hobart,10.0,17.7,0.0,31.0,69,67,14.5,16.7,1010.6,1005.9,No,No
Hobart,12.1,17.1,0.2,44.0,62,88,14.8,12.7,1006.0,1007.8,No,No
Hobart,13.3,27.2,0.0,48.0,56,29,17.1,26.5,1008.3,1007.3,No,No
Hobart,13.6,18.7,5.2,50.0,84,55,14.3,17.7,1016.5,1016.7,Yes,No
Hobart,13.9,20.3,0.0,39.0,64,82,17.0,15.9,1020.3,1021.2,No,No
Hobart,8.9,21.0,0.0,69.0,55,43,13.0,19.0,1012.4,1008.3,No,No
Hobart,8.7,16.3,3.2,65.0,53,45,12.3,13.4,996.2,997.1,Yes,No
Hobart,8.9,17.6,6.4,89.0,55,44,13.8,16.0,996.0,996.1,Yes,Yes
Hobart,7.7,10.5,17.0,59.0,88,83,9.6,9.6,1012.0,1015.5,Yes,Yes
Hobart,3.2,12.5,0.0,22.0,71,47,6.3,11.2,1024.9,1023.0,No,No
Hobart,17.1,19.3,6.6,102.0,88,41,17.3,17.6,992.8,995.4,Yes,Yes
Hobart,8.1,17.2,0.0,39.0,81,47,8.7,15.3,1025.7,1022.8,No,Yes
Hobart,4.4,13.9,0.0,28.0,78,59,7.3,13.9,1030.9,1029.0,No,No
Hobart,9.6,16.7,0.8,35.0,42,42,13.3,15.5,1023.2,1022.0,No,No
Hobart,6.5,11.6,2.2,91.0,77,60,9.5,11.0,998.5,995.3,Yes,Yes
Hobart,5.6,10.9,4.0,35.0,44,44,9.5,10.7,1023.9,1022.5,Yes,No
