manufacturer,model,year,engine_litres,cylinders,transmission,drive,class,fuel_type,highway_l_per_100km,city_l_per_100km,highway_miles_per_gallon
audi,a4,1999,1.8,4,auto(l5),Front wheel,compact,Premium,8.1,13.1,29
audi,a4,1999,1.8,4,manual(m5),Front wheel,compact,Premium,8.1,11.2,29
audi,a4,2008,2.0,4,manual(m6),Front wheel,compact,Premium,7.6,11.8,31
audi,a4,2008,2.0,4,auto(av),Front wheel,compact,Premium,7.8,11.2,30
audi,a4,1999,2.8,6,auto(l5),Front wheel,compact,Premium,9.0,14.7,26
audi,a4,1999,2.8,6,manual(m5),Front wheel,compact,Premium,9.0,13.1,26
audi,a4,2008,3.1,6,auto(av),Front wheel,compact,Premium,8.7,13.1,27
audi,a4 quattro,1999,1.8,4,manual(m5),Four wheel,compact,Premium,9.0,13.1,26
audi,a4 quattro,1999,1.8,4,auto(l5),Four wheel,compact,Premium,9.4,14.7,25
audi,a4 quattro,2008,2.0,4,manual(m6),Four wheel,compact,Premium,8.4,11.8,28
audi,a4 quattro,2008,2.0,4,auto(s6),Four wheel,compact,Premium,8.7,12.4,27
audi,a4 quattro,1999,2.8,6,auto(l5),Four wheel,compact,Premium,9.4,15.7,25
audi,a4 quattro,1999,2.8,6,manual(m5),Four wheel,compact,Premium,9.4,13.8,25
audi,a4 quattro,2008,3.1,6,auto(s6),Four wheel,compact,Premium,9.4,13.8,25
audi,a4 quattro,2008,3.1,6,manual(m6),Four wheel,compact,Premium,9.4,15.7,25
audi,a6 quattro,1999,2.8,6,auto(l5),Four wheel,midsize,Premium,9.8,15.7,24
audi,a6 quattro,2008,3.1,6,auto(s6),Four wheel,midsize,Premium,9.4,13.8,25
audi,a6 quattro,2008,4.2,8,auto(s6),Four wheel,midsize,Premium,10.2,14.7,23
chevrolet,c1500 suburban 2wd,2008,5.3,8,auto(l4),Rear wheel,suv,Regular,11.8,16.8,20
chevrolet,c1500 suburban 2wd,2008,5.3,8,auto(l4),Rear wheel,suv,Ethanol,15.7,21.4,15
chevrolet,c1500 suburban 2wd,2008,5.3,8,auto(l4),Rear wheel,suv,Regular,11.8,16.8,20
chevrolet,c1500 suburban 2wd,1999,5.7,8,auto(l4),Rear wheel,suv,Regular,13.8,18.1,17
chevrolet,c1500 suburban 2wd,2008,6.0,8,auto(l4),Rear wheel,suv,Regular,13.8,19.6,17
chevrolet,corvette,1999,5.7,8,manual(m6),Rear wheel,2seater,Premium,9.0,14.7,26
chevrolet,corvette,1999,5.7,8,auto(l4),Rear wheel,2seater,Premium,10.2,15.7,23
chevrolet,corvette,2008,6.2,8,manual(m6),Rear wheel,2seater,Premium,9.0,14.7,26
chevrolet,corvette,2008,6.2,8,auto(s6),Rear wheel,2seater,Premium,9.4,15.7,25
chevrolet,corvette,2008,7.0,8,manual(m6),Rear wheel,2seater,Premium,9.8,15.7,24
chevrolet,k1500 tahoe 4wd,2008,5.3,8,auto(l4),Four wheel,suv,Regular,12.4,16.8,19
chevrolet,k1500 tahoe 4wd,2008,5.3,8,auto(l4),Four wheel,suv,Ethanol,16.8,21.4,14
chevrolet,k1500 tahoe 4wd,1999,5.7,8,auto(l4),Four wheel,suv,Regular,15.7,21.4,15
chevrolet,k1500 tahoe 4wd,1999,6.5,8,auto(l4),Four wheel,suv,Diesel,13.8,16.8,17
chevrolet,malibu,1999,2.4,4,auto(l4),Front wheel,midsize,Regular,8.7,12.4,27
chevrolet,malibu,2008,2.4,4,auto(l4),Front wheel,midsize,Regular,7.8,10.7,30
chevrolet,malibu,1999,3.1,6,auto(l4),Front wheel,midsize,Regular,9.0,13.1,26
chevrolet,malibu,2008,3.5,6,auto(l4),Front wheel,midsize,Regular,8.1,13.1,29
chevrolet,malibu,2008,3.6,6,auto(s6),Front wheel,midsize,Regular,9.0,13.8,26
dodge,caravan 2wd,1999,2.4,4,auto(l3),Front wheel,minivan,Regular,9.8,13.1,24
dodge,caravan 2wd,1999,3.0,6,auto(l4),Front wheel,minivan,Regular,9.8,13.8,24
dodge,caravan 2wd,1999,3.3,6,auto(l4),Front wheel,minivan,Regular,10.7,14.7,22
dodge,caravan 2wd,1999,3.3,6,auto(l4),Front wheel,minivan,Regular,10.7,14.7,22
dodge,caravan 2wd,2008,3.3,6,auto(l4),Front wheel,minivan,Regular,9.8,13.8,24
dodge,caravan 2wd,2008,3.3,6,auto(l4),Front wheel,minivan,Regular,9.8,13.8,24
dodge,caravan 2wd,2008,3.3,6,auto(l4),Front wheel,minivan,Ethanol,13.8,21.4,17
dodge,caravan 2wd,1999,3.8,6,auto(l4),Front wheel,minivan,Regular,10.7,15.7,22
dodge,caravan 2wd,1999,3.8,6,auto(l4),Front wheel,minivan,Regular,11.2,15.7,21
dodge,caravan 2wd,2008,3.8,6,auto(l6),Front wheel,minivan,Regular,10.2,14.7,23
dodge,caravan 2wd,2008,4.0,6,auto(l6),Front wheel,minivan,Regular,10.2,14.7,23
dodge,dakota pickup 4wd,2008,3.7,6,manual(m6),Four wheel,pickup,Regular,12.4,15.7,19
dodge,dakota pickup 4wd,2008,3.7,6,auto(l4),Four wheel,pickup,Regular,13.1,16.8,18
dodge,dakota pickup 4wd,1999,3.9,6,auto(l4),Four wheel,pickup,Regular,13.8,18.1,17
dodge,dakota pickup 4wd,1999,3.9,6,manual(m5),Four wheel,pickup,Regular,13.8,16.8,17
dodge,dakota pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Regular,12.4,16.8,19
dodge,dakota pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Regular,12.4,16.8,19
dodge,dakota pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Ethanol,19.6,26.1,12
dodge,dakota pickup 4wd,1999,5.2,8,manual(m5),Four wheel,pickup,Regular,13.8,21.4,17
dodge,dakota pickup 4wd,1999,5.2,8,auto(l4),Four wheel,pickup,Regular,15.7,21.4,15
dodge,durango 4wd,1999,3.9,6,auto(l4),Four wheel,suv,Regular,13.8,18.1,17
dodge,durango 4wd,2008,4.7,8,auto(l5),Four wheel,suv,Regular,13.8,18.1,17
dodge,durango 4wd,2008,4.7,8,auto(l5),Four wheel,suv,Ethanol,19.6,26.1,12
dodge,durango 4wd,2008,4.7,8,auto(l5),Four wheel,suv,Regular,13.8,18.1,17
dodge,durango 4wd,1999,5.2,8,auto(l4),Four wheel,suv,Regular,14.7,21.4,16
dodge,durango 4wd,2008,5.7,8,auto(l5),Four wheel,suv,Regular,13.1,18.1,18
dodge,durango 4wd,1999,5.9,8,auto(l4),Four wheel,suv,Regular,15.7,21.4,15
dodge,ram 1500 pickup 4wd,2008,4.7,8,manual(m6),Four wheel,pickup,Regular,14.7,19.6,16
dodge,ram 1500 pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Ethanol,19.6,26.1,12
dodge,ram 1500 pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Regular,13.8,18.1,17
dodge,ram 1500 pickup 4wd,2008,4.7,8,auto(l5),Four wheel,pickup,Regular,13.8,18.1,17
dodge,ram 1500 pickup 4wd,2008,4.7,8,manual(m6),Four wheel,pickup,Regular,14.7,19.6,16
dodge,ram 1500 pickup 4wd,2008,4.7,8,manual(m6),Four wheel,pickup,Ethanol,19.6,26.1,12
dodge,ram 1500 pickup 4wd,1999,5.2,8,auto(l4),Four wheel,pickup,Regular,15.7,21.4,15
dodge,ram 1500 pickup 4wd,1999,5.2,8,manual(m5),Four wheel,pickup,Regular,14.7,21.4,16
dodge,ram 1500 pickup 4wd,2008,5.7,8,auto(l5),Four wheel,pickup,Regular,13.8,18.1,17
dodge,ram 1500 pickup 4wd,1999,5.9,8,auto(l4),Four wheel,pickup,Regular,15.7,21.4,15
ford,expedition 2wd,1999,4.6,8,auto(l4),Rear wheel,suv,Regular,13.8,21.4,17
ford,expedition 2wd,1999,5.4,8,auto(l4),Rear wheel,suv,Regular,13.8,21.4,17
ford,expedition 2wd,2008,5.4,8,auto(l6),Rear wheel,suv,Regular,13.1,19.6,18
ford,explorer 4wd,1999,4.0,6,auto(l5),Four wheel,suv,Regular,13.8,16.8,17
ford,explorer 4wd,1999,4.0,6,manual(m5),Four wheel,suv,Regular,12.4,15.7,19
ford,explorer 4wd,1999,4.0,6,auto(l5),Four wheel,suv,Regular,13.8,16.8,17
ford,explorer 4wd,2008,4.0,6,auto(l5),Four wheel,suv,Regular,12.4,18.1,19
ford,explorer 4wd,2008,4.6,8,auto(l6),Four wheel,suv,Regular,12.4,18.1,19
ford,explorer 4wd,1999,5.0,8,auto(l4),Four wheel,suv,Regular,13.8,18.1,17
ford,f150 pickup 4wd,1999,4.2,6,auto(l4),Four wheel,pickup,Regular,13.8,16.8,17
