animal,diet,sleep_hours,dream_sleep_hours,sleep_cycle_hours,awake_hours,brain_mass_kg,body_mass_kg
Cheetah,Carnivore,12.1,,,11.9,,50.0
Owl monkey,Omnivore,17.0,1.8,,7.0,0.0155,0.48
Mountain beaver,Herbivore,14.4,2.4,,9.6,,1.35
Greater short-tailed shrew,Omnivore,14.9,2.3,0.133333333,9.1,0.00029,0.019
Cow,Herbivore,4.0,0.7,0.666666667,20.0,0.423,600.0
Three-toed sloth,Herbivore,14.4,2.2,0.766666667,9.6,,3.85
Northern fur seal,Carnivore,8.7,1.4,0.383333333,15.3,,20.49
Vesper mouse,,7.0,,,17.0,,0.045
Dog,Carnivore,10.1,2.9,0.333333333,13.9,0.07,14.0
Roe deer,Herbivore,3.0,,,21.0,0.0982,14.8
Goat,Herbivore,5.3,0.6,,18.7,0.115,33.5
Guinea pig,Herbivore,9.4,0.8,0.216666667,14.6,0.0055,0.728
Grivet,Omnivore,10.0,0.7,,14.0,,4.75
Chinchilla,Herbivore,12.5,1.5,0.116666667,11.5,0.0064,0.42
Star-nosed mole,Omnivore,10.3,2.2,,13.7,0.001,0.06
African giant pouched rat,Omnivore,8.3,2.0,,15.7,0.0066,1.0
Lesser short-tailed shrew,Omnivore,9.1,1.4,0.15,14.9,0.00014,0.005
Long-nosed armadillo,Carnivore,17.4,3.1,0.383333333,6.6,0.0108,3.5
Tree hyrax,Herbivore,5.3,0.5,,18.7,0.0123,2.95
North American Opossum,Omnivore,18.0,4.9,0.333333333,6.0,0.0063,1.7
Asian elephant,Herbivore,3.9,,,20.1,4.603,2547.0
Big brown bat,Insectivore,19.7,3.9,0.116666667,4.3,0.0003,0.023
Horse,Herbivore,2.9,0.6,1.0,21.1,0.655,521.0
Donkey,Herbivore,3.1,0.4,,20.9,0.419,187.0
European hedgehog,Omnivore,10.1,3.5,0.283333333,13.9,0.0035,0.77
Patas monkey,Omnivore,10.9,1.1,,13.1,0.115,10.0
Western american chipmunk,Herbivore,14.9,,,9.1,,0.071
Domestic cat,Carnivore,12.5,3.2,0.416666667,11.5,0.0256,3.3
Galago,Omnivore,9.8,1.1,0.55,14.2,0.005,0.2
Giraffe,Herbivore,1.9,0.4,,22.1,,899.995
Pilot whale,Carnivore,2.7,0.1,,21.35,,800.0
Gray seal,Carnivore,6.2,1.5,,17.8,0.325,85.0
Gray hyrax,Herbivore,6.3,0.6,,17.7,0.01227,2.625
Human,Omnivore,8.0,1.9,1.5,16.0,1.32,62.0
Mongoose lemur,Herbivore,9.5,0.9,,14.5,,1.67
African elephant,Herbivore,3.3,,,20.7,5.712,6654.0
Thick-tailed opposum,Carnivore,19.4,6.6,,4.6,,0.37
Macaque,Omnivore,10.1,1.2,0.75,13.9,0.179,6.8
Mongolian gerbil,Herbivore,14.2,1.9,,9.8,,0.053
Golden hamster,Herbivore,14.3,3.1,0.2,9.7,0.001,0.12
Vole ,Herbivore,12.8,,,11.2,,0.035
House mouse,Herbivore,12.5,1.4,0.183333333,11.5,0.0004,0.022
Little brown bat,Insectivore,19.9,2.0,0.2,4.1,0.00025,0.01
Round-tailed muskrat,Herbivore,14.6,,,9.4,,0.266
Slow loris,Carnivore,11.0,,,13.0,0.0125,1.4
Degu,Herbivore,7.7,0.9,,16.3,,0.21
Northern grasshopper mouse,Carnivore,14.5,,,9.5,,0.028
Rabbit,Herbivore,8.4,0.9,0.416666667,15.6,0.0121,2.5
Sheep,Herbivore,3.8,0.6,,20.2,0.175,55.5
Chimpanzee,Omnivore,9.7,1.4,1.416666667,14.3,0.44,52.2
Tiger,Carnivore,15.8,,,8.2,,162.564
Jaguar,Carnivore,10.4,,,13.6,0.157,100.0
Lion,Carnivore,13.5,,,10.5,,161.499
Baboon,Omnivore,9.4,1.0,0.666666667,14.6,0.18,25.235
Desert hedgehog,,10.3,2.7,,13.7,0.0024,0.55
Potto,Omnivore,11.0,,,13.0,,1.1
Deer mouse,,11.5,,,12.5,,0.021
Phalanger,,13.7,1.8,,10.3,0.0114,1.62
Caspian seal,Carnivore,3.5,0.4,,20.5,,86.0
Common porpoise,Carnivore,5.6,,,18.45,,53.18
Potoroo,Herbivore,11.1,1.5,,12.9,,1.1
Giant armadillo,Insectivore,18.1,6.1,,5.9,0.081,60.0
Rock hyrax,,5.4,0.5,,18.6,0.021,3.6
Laboratory rat,Herbivore,13.0,2.4,0.183333333,11.0,0.0019,0.32
African striped mouse,Omnivore,8.7,,,15.3,,0.044
Squirrel monkey,Omnivore,9.6,1.4,,14.4,0.02,0.743
Eastern american mole,Insectivore,8.4,2.1,0.166666667,15.6,0.0012,0.075
Cotton rat,Herbivore,11.3,1.1,0.15,12.7,0.00118,0.148
Mole rat,,10.6,2.4,,13.4,0.003,0.122
Arctic ground squirrel,Herbivore,16.6,,,7.4,0.0057,0.92
Thirteen-lined ground squirrel,Herbivore,13.8,3.4,0.216666667,10.2,0.004,0.101
Golden-mantled ground squirrel,Herbivore,15.9,3.0,,8.1,,0.205
Musk shrew,,12.8,2.0,0.183333333,11.2,0.00033,0.048
Pig,Omnivore,9.1,2.4,0.5,14.9,0.18,86.25
Short-nosed echidna,Insectivore,8.6,,,15.4,0.025,4.5
Eastern american chipmunk,Herbivore,15.8,,,8.2,,0.112
Brazilian tapir,Herbivore,4.4,1.0,0.9,19.6,0.169,207.501
Tenrec,Omnivore,15.6,2.3,,8.4,0.0026,0.9
Tree shrew,Omnivore,8.9,2.6,0.233333333,15.1,0.0025,0.104
Bottle-nosed dolphin,Carnivore,5.2,,,18.8,,173.33
Genet,Carnivore,6.3,1.3,,17.7,0.0175,2.0
Arctic fox,Carnivore,12.5,,,11.5,0.0445,3.38
