player,team,position,age,years_experience,height_cm,weight_kg,salary,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
Brad Wanamaker,Boston Celtics,Point guard,30,1,190.5,95.3,1445697.0,99.0,15.7,5.6,1.7,2.2
Carsen Edwards,Boston Celtics,Point guard,22,0,180.3,90.7,1228026.0,35.0,9.0,3.0,1.2,0.6
Daniel Theis,Boston Celtics,Centre,27,2,203.2,111.1,5000000.0,187.0,17.2,6.7,4.7,1.2
Enes Kanter,Boston Celtics,Centre,27,8,208.3,113.4,4767000.0,634.0,21.8,11.6,7.6,0.9
Gordon Hayward,Boston Celtics,Small forward,30,9,200.7,102.1,32700690.0,634.0,30.8,15.3,4.4,3.5
Grant Williams,Boston Celtics,Power forward,21,0,198.1,107.0,2379840.0,62.0,15.6,3.5,2.7,1.0
Javonte Green,Boston Celtics,Shooting guard,26,0,193.0,93.0,898310.0,44.0,9.4,2.9,1.8,0.5
Jaylen Brown,Boston Celtics,Shooting guard,23,3,198.1,101.2,6534829.0,272.0,26.1,12.9,4.4,1.4
Jayson Tatum,Boston Celtics,Power forward,22,2,203.2,95.3,7830000.0,218.0,31.8,17.2,5.9,2.2
Kemba Walker,Boston Celtics,Point guard,29,8,182.9,83.5,32742000.0,655.0,33.9,20.0,3.8,5.4
Marcus Smart,Boston Celtics,Point guard,26,5,190.5,99.8,12553571.0,394.0,29.0,9.9,3.6,4.0
Romeo Langford,Boston Celtics,Shooting guard,20,0,193.0,98.0,3458400.0,27.0,11.0,2.6,1.2,0.2
Semi Ojeleye,Boston Celtics,Power forward,25,2,198.1,108.9,1618520.0,190.0,13.9,3.0,2.0,0.4
Tacko Fall,Boston Celtics,Centre,24,0,226.1,141.1,0.0,6.0,4.0,3.2,1.8,0.0
Tremont Waters,Boston Celtics,Point guard,22,0,177.8,79.4,0.0,10.0,8.9,3.3,0.9,1.2
Vincent Poirier,Boston Celtics,Centre,26,0,213.4,106.6,2505793.0,21.0,5.4,1.9,1.6,0.3
Caris LeVert,Brooklyn Nets,Shooting guard,25,3,198.1,93.0,2625718.0,207.0,25.6,12.4,3.7,3.5
Chris Chiozza,Brooklyn Nets,Point guard,24,1,180.3,79.8,0.0,28.0,10.1,3.2,1.4,1.9
DeAndre Jordan,Brooklyn Nets,Centre,31,11,210.8,120.2,9881598.0,875.0,27.8,9.5,10.8,0.9
Dzanan Musa,Brooklyn Nets,Shooting guard,20,1,205.7,98.4,1911600.0,44.0,10.1,3.8,1.7,0.8
Garrett Temple,Brooklyn Nets,Shooting guard,33,9,195.6,88.5,4767000.0,569.0,21.0,6.3,2.3,1.7
Jarrett Allen,Brooklyn Nets,Centre,21,2,210.8,110.2,2376840.0,216.0,24.0,9.9,7.7,1.1
Jeremiah Martin,Brooklyn Nets,Point guard,23,0,188.0,83.9,,3.0,5.3,0.7,0.7,0.7
Joe Harris,Brooklyn Nets,Small forward,28,5,198.1,99.8,7666667.0,325.0,24.2,10.3,3.1,1.6
Justin Anderson,Brooklyn Nets,Shooting guard,26,4,195.6,104.8,,219.0,13.1,5.3,2.5,0.7
Kevin Durant,Brooklyn Nets,Small forward,31,12,208.3,108.9,38199000.0,849.0,36.9,27.0,7.1,4.1
Kyrie Irving,Brooklyn Nets,Point guard,28,8,188.0,88.5,31742000.0,528.0,33.8,22.4,3.7,5.7
Nicolas Claxton,Brooklyn Nets,Power forward,20,0,210.8,97.5,898310.0,15.0,12.5,4.4,2.9,1.1
Rodions Kurucs,Brooklyn Nets,Small forward,22,1,205.7,103.4,1699236.0,102.0,17.6,6.8,3.4,0.8
Spencer Dinwiddie,Brooklyn Nets,Point guard,26,5,195.6,97.5,10605600.0,317.0,25.7,12.9,2.8,5.0
Taurean Prince,Brooklyn Nets,Power forward,26,3,200.7,98.9,3481986.0,260.0,26.4,11.6,4.3,1.9
Theo Pinson,Brooklyn Nets,Shooting guard,24,1,195.6,96.2,1445697.0,51.0,11.3,3.9,1.8,1.5
Wilson Chandler,Brooklyn Nets,Small forward,32,11,203.2,106.6,1620564.0,676.0,30.0,12.5,5.3,1.8
Allonzo Trier,New York Knicks,Shooting guard,24,1,193.0,90.7,3551000.0,88.0,19.9,9.7,2.6,1.7
Bobby Portis,New York Knicks,Power forward,25,4,208.3,113.4,15000000.0,315.0,20.4,10.2,5.9,1.2
Damyean Dotson,New York Knicks,Shooting guard,25,2,195.6,95.3,1618520.0,165.0,20.1,7.8,2.6,1.4
Elfrid Payton,New York Knicks,Point guard,26,5,190.5,88.5,8000000.0,387.0,29.3,11.0,4.4,6.6
Frank Ntilikina,New York Knicks,Point guard,21,2,193.0,90.7,4855800.0,178.0,21.3,6.0,2.2,3.1
Ignas Brazdeikis,New York Knicks,Small forward,21,0,198.1,100.2,898310.0,9.0,5.9,1.9,0.6,0.4
Julius Randle,New York Knicks,Power forward,25,5,203.2,113.4,18000000.0,375.0,29.2,16.1,9.0,2.8
