title,artist,popularity,album,playlist_name,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
On & On,Alok,79,On & On,Dance Room,pop,dance pop,74.7,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,67.0,125.07,147027
All The Lies,Alok,56,All The Lies (Remixes),Cardio,pop,dance pop,70.7,80.60000000000001,6,-4.777,1,17.5,0.908,0.0,36.6,63.4,119.972,163000
Hear Me Now,Alok,75,Hear Me Now,ElectroPop 2020,pop,electropop,77.8,46.3,11,-7.603,1,3.89,54.6,0.289,7.31,49.6,121.999,194840
The Wall,Alok,65,The Wall,Electropop,pop,electropop,68.2,91.0,11,-2.314,1,4.31,0.953,6.73,7.32,53.6,122.943,159500
Hear Me Now,Alok,52,Hear Me Now,Chillout & Remixes 💜,pop,indie poptimism,78.8,43.0,11,-7.757,1,4.19,53.7,0.261,9.36,46.1,121.996,192846
Toda La Noche,Alok,45,Toda La Noche,Latin Pop Songs,latin,latin pop,73.5,81.89999999999999,0,-4.809,1,12.4,37.9,0.0,4.23,61.6,90.039,186667
On & On,Alok,79,On & On,Electro House Top Tracks,edm,electro house,74.7,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,67.0,125.07,147027
The Wall,Alok,61,The Wall,EDM 2020 House & Dance,edm,electro house,68.2,91.0,11,-2.314,1,4.31,0.953,6.73,7.32,53.6,122.943,159500
Tell Me Why,Alok,61,Tell Me Why,Club Mix 2020 🍹,edm,electro house,56.10000000000001,90.9,11,-3.66,0,3.91,0.527,0.0205,35.099999999999994,19.5,123.03,161951
Metaphor,Alok,61,Metaphor,PAROOKAVILLE - Big Room,edm,big room,56.7,95.1,8,-5.087,0,3.88,2.13,30.2,10.1,26.700000000000003,138.03,202000
Vale Vale,Alok,56,Vale Vale,Big Room EDM - by Spinnin' Records,edm,big room,47.5,89.60000000000001,1,-5.696,0,7.649999999999999,0.0332,7.340000000000001,42.9,30.5,133.998,193433
All The Lies,Alok,71,All The Lies,EDM 2019,edm,pop edm,61.1,83.5,6,-4.107,1,13.900000000000002,16.7,0.0,10.7,67.2,102.023,179457
The Wall,Alok,61,The Wall,EDM 2020 House & Dance,edm,pop edm,68.2,91.0,11,-2.314,1,4.31,0.953,6.73,7.32,53.6,122.943,159500
On & On,Alok,79,On & On,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,74.7,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,67.0,125.07,147027
Favela,Alok,69,Favela,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,77.7,81.2,2,-3.206,0,5.98,1.25,0.233,2.64,28.3,103.023,185105
On & On,Alok,79,On & On,Epic Bass Drops | Best House Mixes,edm,progressive electro house,74.7,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,67.0,125.07,147027
Tell Me Why,Alok,61,Tell Me Why,Epic Bass Drops | Best House Mixes,edm,progressive electro house,56.10000000000001,90.9,11,-3.66,0,3.91,0.527,0.0205,35.099999999999994,19.5,123.03,161951
The Wall,Alok,61,The Wall,Epic Bass Drops | Best House Mixes,edm,progressive electro house,68.2,91.0,11,-2.314,1,4.31,0.953,6.73,7.32,53.6,122.943,159500
Metaphor,Alok,61,Metaphor,Epic Bass Drops | Best House Mixes,edm,progressive electro house,56.7,95.1,8,-5.087,0,3.88,2.13,30.2,10.1,26.700000000000003,138.03,202000
Stockholm,Atlas Genius,52,Inanimate Objects,Indie Poptimism,pop,indie poptimism,56.8,74.6,7,-5.437,1,4.62,0.54,0.0,16.2,40.9,125.04,191640
When It Was Now,Atlas Genius,25,When It Was Now (Deluxe Version),Indie Poptimism,pop,indie poptimism,66.2,91.7,9,-4.308,0,4.03,0.8109999999999999,0.0,7.04,84.6,141.952,209707
Can't Be Alone Tonight,Atlas Genius,46,Can't Be Alone Tonight,Indie Poptimism,pop,indie poptimism,55.900000000000006,83.3,6,-4.332,1,8.95,4.4,0.0,34.9,44.3,99.991,237027
Trojans,Atlas Genius,60,When It Was Now,permanent wave,rock,permanent wave,72.1,82.19999999999999,7,-4.843,1,3.91,1.13,0.00701,8.98,53.6,140.002,217387
