brand,model,year,age_years,distance_driven_km,engine_litres,price_aud,fuel_type,gearbox
Honda,Honda Accord 2.2d Executive,2009,17,265000,22.0,12540,Diesel,Automatic
Mercedes-Benz,Mercedes-Benz GLC,2016,10,122000,19.9,55062,Petrol,Automatic
Ford,Ford Kuga,2014,12,232040,15.6,14782,Diesel,Manual
Ford,Ford Mondeo,2012,14,255000,20.0,6840,Petrol,Manual
Volkswagen,Volkswagen Polo,2013,13,94550,12.0,11362,Petrol,Manual
Peugeot,Peugeot 607 V6 210 Platinum,2003,23,380871,20.0,3040,Petrol and LPG,Automatic
Toyota,Toyota C-HR,2022,4,25720,18.0,60521,Hybrid,Automatic
Peugeot,Peugeot 308,2006,20,80000,10.0,5662,Petrol,Manual
Renault,Renault Fluence,2012,14,196000,14.6,13680,Diesel,Manual
Renault,Renault Scenic 1.6 dCi Energy Tech Run S&S,2014,12,140500,16.0,7942,Diesel,Manual
BMW,BMW Seria 6 650i xDrive,2012,14,138000,20.0,45562,Diesel,Automatic
Mercedes-Benz,Mercedes-Benz CL 63 AMG,2008,18,299000,62.1,45600,Petrol,Automatic
Fiat,Fiat Tipo,2023,3,5,15.0,49305,Hybrid,Automatic
Maserati,Maserati Quattroporte,2014,12,41105,29.8,74100,Petrol,Automatic
Ford,Ford Mustang,1997,29,180000,38.0,5890,Petrol,Automatic
Hyundai,Hyundai I30 1.4 Classic +,2017,9,212055,16.9,20311,Diesel,Manual
Maserati,Maserati Ghibli Diesel Automatik,2014,12,150000,29.8,12502,Petrol,Automatic
Aston Martin,Aston Martin DB9,2011,15,45600,59.4,159600,Petrol,Automatic
Bentley,Bentley Bentayga Diesel,2018,8,49500,60.0,300162,Petrol,Automatic
BMW,BMW Seria 8 M850i xDrive,2020,6,26000,20.0,170962,Diesel,Automatic
Bentley,Bentley Continental GT,2017,9,117852,59.5,490200,Petrol,Automatic
Peugeot,Peugeot 2008 e-2008 GT,2022,4,8054,12.0,47500,Petrol,Automatic
Nissan,Nissan Juke 1.6 T Tekna,2014,12,110000,12.0,15162,Petrol,Manual
Mercedes-Benz,Mercedes-Benz Klasa C 300 9G-TRONIC,2017,9,188300,19.5,72200,Diesel,Automatic
Aston Martin,Aston Martin Rapide S,2011,15,62700,47.4,102220,Petrol,Automatic
Maserati,Maserati Ghibli S Modena,2017,9,65235,29.8,25460,Petrol,Automatic
Ford,Ford Fiesta 1.25 Ghia,2012,14,249000,20.0,9044,Diesel,Manual
Kia,Kia Sportage 2.0 4WD MRDi,1997,29,140000,20.0,8702,Petrol,Manual
Maserati,Maserati Ghibli,2016,10,46436,46.9,72162,Petrol,Automatic
Opel,Opel Insignia,2019,7,178654,16.0,14820,Diesel,Automatic
Mitsubishi,Mitsubishi Eclipse Cross 2.4 PHEV Intense Plus,2020,6,71000,20.0,73830,Petrol,Automatic
Bentley,Bentley Bentayga W12,2017,9,55688,60.0,300200,Petrol,Automatic
Aston Martin,Aston Martin V8 Vantage Roadster Sportshift,2011,15,45600,59.4,119700,Petrol,Automatic
Peugeot,Peugeot 308 1.6 BlueHDi Allure S&S,2018,8,56400,12.0,15922,Petrol,Manual
Hyundai,Hyundai Tucson 1.6 T-GDi Executive 2WD,2022,4,1,10.0,48222,Petrol,Manual
Toyota,Toyota Auris,2014,12,106269,16.0,14972,Petrol,Manual
Skoda,Skoda Fabia,2007,19,320000,25.0,7448,Diesel,Automatic
Ford,Ford Focus 1.0 EcoBoost SYNC Edition ASS,2016,10,205000,15.0,24320,Diesel,Manual
Ford,Ford Mondeo 2.0 TDCi Titanium,2013,13,150218,10.0,7182,Petrol,Manual
Ford,Ford Fiesta 1.0 EcoBoost ST-Line,2015,11,77214,10.0,11362,Petrol,Manual
Bentley,Bentley Continental GT Speed,2008,18,156663,60.0,94962,Petrol,Automatic
Lamborghini,Lamborghini Murcielago E-Gear,2005,21,46950,61.9,589000,Petrol,Automatic
Volkswagen,Volkswagen Touareg 3.0 V6 TFSI 4Mot Elegance,2019,7,115000,19.7,83562,Diesel,Automatic
Volkswagen,Volkswagen New Beetle,2002,24,240000,19.0,3800,Diesel,Manual
Opel,Opel Astra GTC 1.9 CDTI DPF Sport,2009,17,146000,12.3,6270,Petrol,Manual
Dacia,Dacia Duster 1.5 dCi Comfort EDC,2018,8,86000,14.6,22762,Diesel,Automatic
Volkswagen,Volkswagen Polo,2021,5,78560,19.7,17442,Diesel,Manual
Opel,Opel Insignia,2019,7,169000,15.0,34580,Diesel,Manual
Bentley,Bentley Continental Flying Spur W12,2013,13,167800,39.9,148162,Petrol,Automatic
Peugeot,Peugeot 508,2015,11,49000,15.6,25042,Diesel,Manual
Fiat,Fiat Tipo 1.4 Classic,2020,6,21000,10.0,14402,Petrol,Manual
Skoda,Skoda Kamiq 1.5 TSI Ambition,2021,5,55184,15.0,43738,Petrol,Manual
Hyundai,Hyundai i20,2010,16,214000,20.0,7182,Petrol,Manual
Peugeot,Peugeot 3008 1.6 BlueHDi Active S&S EAT6,2018,8,190000,15.6,28576,Diesel,Automatic
Maserati,Maserati Ghibli S Q4,2017,9,55000,29.8,41420,Petrol,Automatic
Bentley,Bentley Bentayga,2019,7,12000,60.0,337820,Petrol,Automatic
Peugeot,Peugeot 508 RXH Hybrid4,2014,12,290000,20.0,16568,Diesel,Automatic
Renault,Renault Arkana,2022,4,10,16.0,46702,Hybrid,Automatic
BMW,BMW Seria 3 318d,2015,11,121000,29.8,28462,Petrol,Automatic
Porsche,Porsche 911 Carrera Cabrio,2007,19,182000,38.0,41420,Petrol,Manual
Peugeot,Peugeot 3008 1.2 PureTech Allure S&S EAT6,2017,9,144000,20.0,32186,Diesel,Automatic
Porsche,Porsche Panamera 4S Executive,2016,10,47000,38.0,129162,Petrol,Automatic
