model,age_years,distance_driven_thousand_km,price_thousands_usd
Mazda6,3,28.6,15.9
Mazda6,2,30.6,16.4
Mazda6,1,33.6,18.9
Mazda6,2,38.6,16.9
Mazda6,2,38.6,20.5
Mazda6,1,38.9,19
Mazda6,2,48.4,17.5
Mazda6,3,51.5,18
Mazda6,3,56,13.6
Mazda6,4,57.5,12
Mazda6,4,79.7,10
Mazda6,3,81.9,17.9
Mazda6,3,82.2,17.8
Mazda6,3,83.2,16
Mazda6,3,86.3,14.6
Mazda6,1,89.3,14
Mazda6,7,106.5,8
Mazda6,8,113,8.5
Mazda6,6,113.5,9
Mazda6,7,115.1,7.8
Mazda6,10,123.4,6.8
Mazda6,13,146,5
Mazda6,14,170.3,4.5
Mazda6,8,174,5.6
Mazda6,13,175.6,2
Mazda6,10,200.8,5.8
Mazda6,13,206.8,5.2
Mazda6,14,210.8,3
Mazda6,10,215.3,9.9
Mazda6,13,220.8,5
Accord,7,120.5,12
Accord,4,85.3,17.9
Accord,4,127.3,15.7
Accord,7,80.6,12.5
Accord,9,99.8,9.5
Accord,1,7.7,21.5
Accord,18,143.9,3.5
Accord,2,33.5,22.8
Accord,2,7.7,26.8
Accord,5,77.7,13.6
Accord,2,74.8,19.4
Accord,2,4.8,19.5
Accord,6,103.2,9
Accord,3,13.4,17.4
Accord,3,43.6,17.8
Accord,2,32.7,17.5
Accord,4,110.1,13.5
Accord,14,139.9,7
Accord,9,103.8,11.6
Accord,10,242.2,7.9
Accord,5,104.9,11.7
Accord,3,90.3,15.6
Accord,12,224.3,5
Accord,3,22.4,21
Accord,4,29.9,15.6
Accord,2,25.3,17
Accord,3,62,16
Accord,3,31.9,17.6
Accord,11,192,6.9
Accord,13,197.1,5.5
Maxima,0,24.5,27
Maxima,3,38.8,16.5
Maxima,4,48.3,15.3
Maxima,4,55.4,15.7
Maxima,3,56.5,19.9
Maxima,4,56.8,15.5
Maxima,4,59.4,21
Maxima,1,60.4,21
Maxima,3,60.7,19.9
Maxima,1,62.1,20
Maxima,1,67.8,20
Maxima,4,68.1,15
Maxima,3,69.7,17.3
Maxima,7,72.3,17
Maxima,4,75,17.5
Maxima,8,81,12.5
Maxima,3,87.9,15.2
Maxima,5,94.1,13.8
Maxima,3,95.6,16.9
Maxima,3,92.4,18
Maxima,5,98.3,13
Maxima,7,105.9,13.8
Maxima,4,110.7,12.5
Maxima,4,111.2,13
Maxima,6,141.1,11.5
Maxima,10,150.2,9.5
Maxima,5,150.8,13
Maxima,7,158.2,11.8
Maxima,10,218.4,6
Maxima,10,197.8,4.8
