player,team,position,age,games_played,minutes_total,minutes_per_game,player_efficiency_rating,true_shooting_pct,usage_pct,rebound_pct,assist_pct,win_shares
Renee Montgomery,Atlanta Dream,Guard,32,34,949,27.9,11.1,52.0,17.5,4.1,18.0,0.9
Elizabeth Williams,Atlanta Dream,Centre-Forward,26,32,909,28.4,16.7,52.1,15.9,12.1,7.8,2.7
Brittney Sykes,Atlanta Dream,Guard,25,34,880,25.9,11.3,44.5,23.1,9.1,19.6,0.0
Tiffany Hayes,Atlanta Dream,Guard,29,29,817,28.2,15.1,49.7,27.1,5.7,21.9,1.0
Jessica Breland,Atlanta Dream,Forward,31,33,767,23.2,15.2,42.5,18.9,16.6,14.2,1.5
Alex Bentley,Atlanta Dream,Guard,28,29,634,21.9,8.8,38.4,26.7,4.5,28.1,-1.0
Monique Billings,Atlanta Dream,Forward,23,29,553,19.1,11.7,46.9,17.3,19.3,5.4,0.7
Maite Cazorla,Atlanta Dream,Guard,22,31,477,15.4,6.4,44.4,12.3,2.3,17.8,-0.2
Nia Coffey,Atlanta Dream,Forward,24,28,389,13.9,10.1,44.1,20.3,10.6,6.0,0.2
Marie Gulich,Atlanta Dream,Centre,25,31,349,11.3,8.8,43.3,19.0,12.9,10.3,-0.1
Alaina Coates,Atlanta Dream,Centre,24,9,75,8.3,16.5,63.4,14.0,19.1,2.6,0.3
Haley Peters,Atlanta Dream,Forward,26,4,26,6.5,-10.8,12.7,20.2,4.1,6.0,-0.2
Angel McCoughtry,Atlanta Dream,Forward-Guard,32,1,0,0.0,,,,,,0.0
Diamond DeShields,Chicago Sky,Guard,24,34,1027,30.2,16.2,50.8,26.1,10.2,13.4,2.4
Courtney Vandersloot,Chicago Sky,Guard,30,33,991,30.0,20.5,55.2,18.9,8.1,47.0,4.1
Allie Quigley,Chicago Sky,Guard,33,34,972,28.6,17.8,63.2,18.7,5.8,14.5,3.7
Stefanie Dolson,Chicago Sky,Centre,27,34,850,25.0,14.8,62.1,16.4,12.4,13.8,2.7
Cheyenne Parker,Chicago Sky,Forward,26,34,670,19.7,18.7,54.4,20.8,16.4,7.2,2.6
Jantel Lavender,Chicago Sky,Centre,30,23,619,26.9,14.1,52.7,17.7,14.3,6.8,1.3
Gabby Williams,Chicago Sky,Guard,22,33,527,16.0,10.4,46.8,21.0,7.6,20.2,0.0
Kahleah Copper,Chicago Sky,Forward-Guard,24,34,502,14.8,9.7,48.3,24.1,7.1,9.6,0.0
Astou Ndour,Chicago Sky,Centre,24,21,368,17.5,16.5,56.8,16.6,13.4,6.1,1.3
Katie Lou Samuelson,Chicago Sky,Guard,22,20,153,7.7,10.3,51.3,14.7,6.2,6.5,0.3
Jamierra Faulkner,Chicago Sky,Guard,27,13,72,5.5,5.6,39.5,16.0,3.1,21.9,0.0
Chloe Jackson,Chicago Sky,Guard,22,8,32,4.0,2.4,21.5,24.0,10.5,17.4,-0.2
Victoria Macaulay,Chicago Sky,Centre,28,5,22,4.4,14.5,51.0,11.6,10.2,0.0,0.1
Kayla Alexander,Chicago Sky,Centre,28,3,20,6.7,20.9,78.1,14.7,19.6,7.9,0.1
Alyssa Thomas,Connecticut Sun,Forward,27,34,1026,30.2,18.3,51.3,19.2,14.7,17.2,3.7
Jasmine Thomas,Connecticut Sun,Guard,29,34,1009,29.7,13.9,49.1,20.6,5.5,28.3,2.0
Courtney Williams,Connecticut Sun,Guard,25,34,988,29.1,19.0,48.6,22.8,11.0,23.2,3.5
Jonquel Jones,Connecticut Sun,Forward,25,34,980,28.8,24.3,56.0,22.6,19.3,9.2,5.6
Shekinna Stricklen,Connecticut Sun,Forward-Guard,28,34,804,23.6,12.9,57.3,15.9,4.6,7.8,2.6
Bria Holmes,Connecticut Sun,Guard,25,34,529,15.6,11.3,48.7,20.4,5.3,9.7,0.8
Rachel Banham,Connecticut Sun,Guard,25,29,353,12.2,4.7,43.5,18.0,4.9,11.4,-0.2
Morgan Tuck,Connecticut Sun,Forward,25,33,352,10.7,10.0,47.6,19.6,10.7,12.8,0.3
Brionna Jones,Connecticut Sun,Centre,23,27,227,8.4,16.4,51.7,21.0,14.9,6.6,0.7
Natisha Hiedeman,Connecticut Sun,Guard,22,20,205,10.3,15.9,53.2,17.2,8.4,29.2,0.8
